f,B2
0,0.835605914
1.110666667,1.19983331
2.221333333,4.09E-06
3.332,0.031475327
4.442666667,3.92E-06
5.553333333,0.004558704
6.664,2.03E-04
7.774666667,0.001185345
8.885333333,3.70E-06
9.996,4.85E-04
11.10666667,3.63E-06
12.21733333,2.16E-04
13.328,1.03E-05
14.43866667,1.22E-04
15.54933333,3.40E-06
16.66,7.06E-05
17.77066667,3.17E-06
18.88133333,4.10E-05
19.992,3.62E-06
21.10266667,2.62E-05
22.21333333,2.47E-06
23.324,1.63E-05
24.43466667,2.07E-06
25.54533333,9.46E-06
26.656,1.88E-06
27.76666667,5.39E-06
28.87733333,1.57E-06
29.988,3.22E-06
31.09866667,1.42E-06
32.20933333,1.92E-06
33.32,1.35E-06
34.43066667,1.17E-06
35.54133333,1.17E-06
36.652,8.25E-07
37.76266667,9.99E-07
38.87333333,6.32E-07
39.984,8.50E-07
41.09466667,5.04E-07
42.20533333,6.83E-07
43.316,3.94E-07
44.42666667,5.08E-07
45.53733333,3.07E-07
46.648,3.51E-07
47.75866667,2.37E-07
48.86933333,2.74E-07
49.98,2.29E-07
